Equipment_ID,Equipment_Name,Category,Status,Current_Site,Site_Lat,Site_Long,Initial_Cost (₹),Maintenance_Cost/day (₹),Rent_Cost/day (₹),Start_Date,End_Date,Days_Active,Maintenance_Status
EQ0657,Crane,Transportation,On Rent,Kusunda Overpass,23.74,86.42,2000000,724,6500,4/18/2025,-,29,Available
EQ0658,Gloves Pack,Safety,On Rent,Saraidhela Bridge,23.795,86.425,5000,1027,100,9/2/2025,-,27,Available
EQ0659,Gloves Pack,Safety,Inventory,-,-,-,5000,1368,100,2/10/2025,2/18/2025,8,Available
EQ0660,Concrete Mixer,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,150000,1433,1500,7/1/2025,-,29,Available
EQ0661,Loader,Transportation,On Rent,Katras Tunnel,23.81,86.44,1500000,1141,5000,9/3/2025,-,20,Available
EQ0662,Compressor,Technical Equipment,Inventory,-,-,-,600000,1794,1800,6/18/2025,6/24/2025,6,Available
EQ0663,Crane,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,2000000,295,6500,6/24/2025,-,14,Available
EQ0664,Gloves Pack,Safety,On Rent,Katras Tunnel,23.81,86.44,5000,741,100,11/28/2025,-,24,Available
EQ0665,Safety Jacket,Safety,On Rent,Kusunda Overpass,23.74,86.42,6000,440,120,5/18/2025,-,18,Available
EQ0666,Crane,Transportation,On Rent,Katras Tunnel,23.81,86.44,2000000,747,6500,3/4/2025,-,14,Available
EQ0667,Concrete Mixer,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,150000,766,1500,3/12/2025,-,11,Available
EQ0668,Safety Helmet Set,Safety,In Maintenance,-,-,-,8000,125,150,5/28/2025,-,5,Under Repair
EQ0669,Road Roller,Transportation,On Rent,Barwadda Expansion,23.835,86.455,3000000,926,7000,1/3/2025,-,26,Available
EQ0670,Concrete Mixer,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,150000,1656,1500,4/24/2025,-,21,Available
EQ0671,Dump Truck,Transportation,In Maintenance,-,-,-,4500000,367,9500,1/10/2025,-,4,Under Repair
EQ0672,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,1598,1500,3/10/2025,3/15/2025,5,Available
EQ0673,Road Roller,Transportation,On Rent,Katras Tunnel,23.81,86.44,3000000,1923,7000,11/10/2025,-,19,Available
EQ0674,Excavator,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,2500000,242,8000,3/18/2025,-,19,Available
EQ0675,Dump Truck,Transportation,On Rent,Barwadda Expansion,23.835,86.455,4500000,1208,9500,10/1/2025,-,14,Available
EQ0676,Safety Jacket,Safety,On Rent,Govindpur Road Project,23.78,86.5,6000,1378,120,7/7/2025,-,21,Available
EQ0677,Excavator,Technical Equipment,Inventory,-,-,-,2500000,1763,8000,6/28/2025,7/9/2025,11,Available
EQ0678,Gloves Pack,Safety,On Rent,-,-,-,5000,915,100,1/2/2025,-,17,Available
EQ0679,Compressor,Technical Equipment,On Rent,-,-,-,600000,1926,1800,2/12/2025,-,24,Available
EQ0680,Road Roller,Transportation,Inventory,-,-,-,3000000,1560,7000,11/4/2025,11/19/2025,15,Available
EQ0681,Bulldozer,Transportation,In Maintenance,-,-,-,3500000,1478,8000,6/19/2025,-,11,Under Repair
EQ0682,Compressor,Technical Equipment,In Maintenance,-,-,-,600000,545,1800,7/31/2025,-,5,Under Repair
EQ0683,Gloves Pack,Safety,On Rent,-,-,-,5000,1857,100,8/7/2025,-,29,Available
EQ0684,Safety Net,Safety,On Rent,Govindpur Road Project,23.78,86.5,20000,856,250,2/7/2025,-,7,Available
EQ0685,Crane,Transportation,On Rent,Katras Tunnel,23.81,86.44,2000000,126,6500,5/29/2025,-,17,Available
EQ0686,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,1023,1200,2/3/2025,2/9/2025,6,Available
EQ0687,Gloves Pack,Safety,On Rent,Katras Tunnel,23.81,86.44,5000,1075,100,10/20/2025,-,15,Available
EQ0688,Safety Helmet Set,Safety,On Rent,-,-,-,8000,515,150,2/11/2025,-,11,Available
EQ0689,Loader,Transportation,On Rent,-,-,-,1500000,856,5000,1/15/2025,-,22,Available
EQ0690,Loader,Transportation,On Rent,-,-,-,1500000,673,5000,7/18/2025,-,6,Available
EQ0691,Safety Jacket,Safety,On Rent,Barwadda Expansion,23.835,86.455,6000,1125,120,11/6/2025,-,17,Available
EQ0692,Gloves Pack,Safety,Inventory,-,-,-,5000,1442,100,1/1/2025,1/8/2025,7,Available
EQ0693,Safety Net,Safety,On Rent,Govindpur Road Project,23.78,86.5,20000,256,250,1/4/2025,-,12,Available
EQ0694,Concrete Mixer,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,150000,738,1500,11/28/2025,-,19,Available
EQ0695,Hydraulic Breaker,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,1200000,801,5000,11/27/2025,-,24,Available
EQ0696,Gloves Pack,Safety,Inventory,-,-,-,5000,2044,100,3/5/2025,3/17/2025,12,Available
EQ0697,Crane,Transportation,On Rent,Kusunda Overpass,23.74,86.42,2000000,669,6500,9/23/2025,-,26,Available
EQ0698,Welding Generator,Technical Equipment,In Maintenance,-,-,-,400000,2128,1200,4/20/2025,-,3,Under Repair
EQ0699,Road Roller,Transportation,In Maintenance,-,-,-,3000000,711,7000,6/19/2025,-,2,Under Repair
EQ0700,Gloves Pack,Safety,On Rent,Barwadda Expansion,23.835,86.455,5000,1047,100,7/11/2025,-,18,Available
EQ0701,Road Roller,Transportation,On Rent,Kusunda Overpass,23.74,86.42,3000000,1944,7000,6/20/2025,-,12,Available
EQ0702,Bulldozer,Transportation,On Rent,-,-,-,3500000,1262,8000,3/16/2025,-,19,Available
EQ0703,Bulldozer,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3500000,253,8000,3/30/2025,-,22,Available
EQ0704,Dump Truck,Transportation,In Maintenance,-,-,-,4500000,1663,9500,8/7/2025,-,5,Under Repair
EQ0705,Hydraulic Breaker,Technical Equipment,Inventory,-,-,-,1200000,812,5000,5/26/2025,6/6/2025,11,Available
EQ0706,Road Roller,Transportation,Inventory,-,-,-,3000000,225,7000,1/7/2025,1/14/2025,7,Available
EQ0707,Safety Jacket,Safety,On Rent,Saraidhela Bridge,23.795,86.425,6000,1030,120,7/1/2025,-,20,Available
EQ0708,Safety Net,Safety,Inventory,-,-,-,20000,990,250,7/27/2025,8/8/2025,12,Available
EQ0709,Gloves Pack,Safety,Inventory,-,-,-,5000,173,100,2/24/2025,3/1/2025,5,Available
EQ0710,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,1920,1200,6/24/2025,7/6/2025,12,Available
EQ0711,Road Roller,Transportation,Inventory,-,-,-,3000000,1161,7000,10/4/2025,10/9/2025,5,Available
EQ0712,Safety Helmet Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,8000,1891,150,2/28/2025,-,15,Available
EQ0713,Road Roller,Transportation,Inventory,-,-,-,3000000,459,7000,10/29/2025,11/7/2025,9,Available
EQ0714,Welding Generator,Technical Equipment,In Maintenance,-,-,-,400000,1654,1200,10/31/2025,-,15,Under Repair
EQ0715,Excavator,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,2500000,291,8000,4/27/2025,-,23,Available
EQ0716,Gloves Pack,Safety,On Rent,Barwadda Expansion,23.835,86.455,5000,1096,100,3/24/2025,-,29,Available
EQ0717,Road Roller,Transportation,Inventory,-,-,-,3000000,1756,7000,11/6/2025,11/14/2025,8,Available
EQ0718,Harness Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,15000,733,300,8/21/2025,-,9,Available
EQ0719,Harness Set,Safety,Inventory,-,-,-,15000,1707,300,11/6/2025,11/18/2025,12,Available
EQ0720,Gloves Pack,Safety,On Rent,Katras Tunnel,23.81,86.44,5000,1276,100,5/1/2025,-,10,Available
EQ0721,Road Roller,Transportation,On Rent,Kusunda Overpass,23.74,86.42,3000000,1120,7000,4/10/2025,-,9,Available
EQ0722,Compressor,Technical Equipment,In Maintenance,-,-,-,600000,1771,1800,10/21/2025,-,15,Under Repair
EQ0723,Safety Helmet Set,Safety,In Maintenance,-,-,-,8000,1120,150,7/7/2025,-,13,Under Repair
EQ0724,Concrete Mixer,Technical Equipment,In Maintenance,-,-,-,150000,981,1500,11/15/2025,-,9,Under Repair
EQ0725,Harness Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,15000,825,300,11/14/2025,-,11,Available
EQ0726,Welding Generator,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,400000,643,1200,9/26/2025,-,30,Available
EQ0727,Excavator,Technical Equipment,In Maintenance,-,-,-,2500000,1090,8000,6/1/2025,-,10,Under Repair
EQ0728,Excavator,Technical Equipment,Inventory,-,-,-,2500000,705,8000,7/6/2025,7/19/2025,13,Available
EQ0729,Safety Jacket,Safety,On Rent,Govindpur Road Project,23.78,86.5,6000,1441,120,8/4/2025,-,15,Available
EQ0730,Excavator,Technical Equipment,Inventory,-,-,-,2500000,160,8000,3/29/2025,4/6/2025,8,Available
EQ0731,Gloves Pack,Safety,In Maintenance,-,-,-,5000,557,100,4/13/2025,-,6,Under Repair
EQ0732,Harness Set,Safety,On Rent,Katras Tunnel,23.81,86.44,15000,1406,300,11/10/2025,-,28,Available
EQ0733,Safety Jacket,Safety,In Maintenance,-,-,-,6000,342,120,7/6/2025,-,9,Under Repair
EQ0734,Dump Truck,Transportation,Inventory,-,-,-,4500000,437,9500,9/10/2025,9/16/2025,6,Available
EQ0735,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,160,1200,7/21/2025,7/27/2025,6,Available
EQ0736,Excavator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,2500000,1866,8000,10/19/2025,-,26,Available
EQ0737,Compressor,Technical Equipment,Inventory,-,-,-,600000,2025,1800,4/16/2025,4/20/2025,4,Available
EQ0738,Safety Helmet Set,Safety,On Rent,-,-,-,8000,1203,150,6/6/2025,-,17,Available
EQ0739,Compressor,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,600000,2083,1800,11/28/2025,-,10,Available
EQ0740,Crane,Transportation,On Rent,Kusunda Overpass,23.74,86.42,2000000,1681,6500,3/3/2025,-,5,Available
EQ0741,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,1503,1200,3/18/2025,4/1/2025,14,Available
EQ0742,Road Roller,Transportation,In Maintenance,-,-,-,3000000,653,7000,9/10/2025,-,6,Under Repair
EQ0743,Compressor,Technical Equipment,In Maintenance,-,-,-,600000,1346,1800,1/24/2025,-,15,Under Repair
EQ0744,Bulldozer,Transportation,Inventory,-,-,-,3500000,689,8000,8/1/2025,8/3/2025,2,Available
EQ0745,Safety Jacket,Safety,On Rent,Katras Tunnel,23.81,86.44,6000,1818,120,9/2/2025,-,8,Available
EQ0746,Crane,Transportation,On Rent,-,-,-,2000000,1076,6500,9/5/2025,-,28,Available
EQ0747,Crane,Transportation,Inventory,-,-,-,2000000,1750,6500,2/13/2025,2/22/2025,9,Available
EQ0748,Harness Set,Safety,Inventory,-,-,-,15000,704,300,6/2/2025,6/7/2025,5,Available
EQ0749,Compressor,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,600000,1618,1800,1/19/2025,-,21,Available
EQ0750,Gloves Pack,Safety,Inventory,-,-,-,5000,1856,100,1/24/2025,2/4/2025,11,Available
EQ0751,Safety Helmet Set,Safety,On Rent,-,-,-,8000,1703,150,4/7/2025,-,18,Available
EQ0752,Hydraulic Breaker,Technical Equipment,Inventory,-,-,-,1200000,366,5000,9/4/2025,9/7/2025,3,Available
EQ0753,Safety Jacket,Safety,On Rent,Govindpur Road Project,23.78,86.5,6000,841,120,2/6/2025,-,30,Available
EQ0754,Concrete Mixer,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,150000,1635,1500,3/24/2025,-,15,Available
EQ0755,Safety Helmet Set,Safety,On Rent,Katras Tunnel,23.81,86.44,8000,278,150,10/19/2025,-,13,Available
EQ0756,Crane,Transportation,On Rent,Govindpur Road Project,23.78,86.5,2000000,1264,6500,6/19/2025,-,25,Available
EQ0757,Loader,Transportation,Inventory,-,-,-,1500000,131,5000,7/12/2025,7/20/2025,8,Available
EQ0758,Road Roller,Transportation,In Maintenance,-,-,-,3000000,1525,7000,7/12/2025,-,12,Under Repair
EQ0759,Road Roller,Transportation,On Rent,Katras Tunnel,23.81,86.44,3000000,941,7000,2/18/2025,-,16,Available
EQ0760,Excavator,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,2500000,118,8000,1/16/2025,-,12,Available
EQ0761,Harness Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,15000,1801,300,11/28/2025,-,12,Available
EQ0762,Hydraulic Breaker,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,1200000,1615,5000,9/9/2025,-,18,Available
EQ0763,Safety Helmet Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,8000,1229,150,1/17/2025,-,17,Available
EQ0764,Hydraulic Breaker,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,1200000,2071,5000,11/18/2025,-,20,Available
EQ0765,Dump Truck,Transportation,In Maintenance,-,-,-,4500000,315,9500,8/6/2025,-,14,Under Repair
EQ0766,Welding Generator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,400000,1513,1200,10/31/2025,-,20,Available
EQ0767,Safety Jacket,Safety,In Maintenance,-,-,-,6000,532,120,11/26/2025,-,11,Under Repair
EQ0768,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,855,1500,7/8/2025,7/21/2025,13,Available
EQ0769,Loader,Transportation,On Rent,Kusunda Overpass,23.74,86.42,1500000,1794,5000,2/4/2025,-,12,Available
EQ0770,Excavator,Technical Equipment,On Rent,-,-,-,2500000,550,8000,6/10/2025,-,22,Available
EQ0771,Dump Truck,Transportation,In Maintenance,-,-,-,4500000,146,9500,3/25/2025,-,9,Under Repair
EQ0772,Dump Truck,Transportation,On Rent,Barwadda Expansion,23.835,86.455,4500000,1579,9500,7/2/2025,-,16,Available
EQ0773,Safety Jacket,Safety,On Rent,Govindpur Road Project,23.78,86.5,6000,917,120,3/1/2025,-,14,Available
EQ0774,Bulldozer,Transportation,On Rent,Katras Tunnel,23.81,86.44,3500000,1239,8000,7/2/2025,-,10,Available
EQ0775,Crane,Transportation,Inventory,-,-,-,2000000,1015,6500,6/6/2025,6/9/2025,3,Available
EQ0776,Crane,Transportation,On Rent,Katras Tunnel,23.81,86.44,2000000,808,6500,5/23/2025,-,22,Available
EQ0777,Bulldozer,Transportation,Inventory,-,-,-,3500000,761,8000,4/18/2025,4/21/2025,3,Available
EQ0778,Gloves Pack,Safety,On Rent,Saraidhela Bridge,23.795,86.425,5000,1593,100,11/13/2025,-,18,Available
EQ0779,Dump Truck,Transportation,In Maintenance,-,-,-,4500000,265,9500,8/17/2025,-,10,Under Repair
EQ0780,Concrete Mixer,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,150000,1178,1500,7/16/2025,-,22,Available
EQ0781,Crane,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,2000000,359,6500,9/1/2025,-,12,Available
EQ0782,Loader,Transportation,On Rent,Katras Tunnel,23.81,86.44,1500000,1473,5000,5/15/2025,-,7,Available
EQ0783,Safety Helmet Set,Safety,On Rent,Barwadda Expansion,23.835,86.455,8000,453,150,5/19/2025,-,26,Available
EQ0784,Safety Net,Safety,In Maintenance,-,-,-,20000,415,250,11/5/2025,-,5,Under Repair
EQ0785,Crane,Transportation,On Rent,Barwadda Expansion,23.835,86.455,2000000,701,6500,3/3/2025,-,25,Available
EQ0786,Crane,Transportation,In Maintenance,-,-,-,2000000,1084,6500,2/13/2025,-,4,Under Repair
EQ0787,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,186,1500,8/24/2025,8/31/2025,7,Available
EQ0788,Bulldozer,Transportation,In Maintenance,-,-,-,3500000,1908,8000,1/6/2025,-,6,Under Repair
EQ0789,Gloves Pack,Safety,Inventory,-,-,-,5000,201,100,9/8/2025,9/16/2025,8,Available
EQ0790,Compressor,Technical Equipment,Inventory,-,-,-,600000,472,1800,9/26/2025,9/28/2025,2,Available
EQ0791,Safety Jacket,Safety,On Rent,Kusunda Overpass,23.74,86.42,6000,901,120,10/10/2025,-,10,Available
EQ0792,Crane,Transportation,Inventory,-,-,-,2000000,1562,6500,12/1/2025,12/11/2025,10,Available
EQ0793,Safety Net,Safety,Inventory,-,-,-,20000,265,250,11/17/2025,12/2/2025,15,Available
EQ0794,Safety Helmet Set,Safety,Inventory,-,-,-,8000,90,150,11/11/2025,11/14/2025,3,Available
EQ0795,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,1573,1200,10/17/2025,10/31/2025,14,Available
EQ0796,Hydraulic Breaker,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,1200000,454,5000,6/12/2025,-,18,Available
EQ0797,Road Roller,Transportation,In Maintenance,-,-,-,3000000,630,7000,7/31/2025,-,3,Under Repair
EQ0798,Loader,Transportation,On Rent,-,-,-,1500000,1758,5000,9/8/2025,-,26,Available
EQ0799,Safety Helmet Set,Safety,On Rent,Katras Tunnel,23.81,86.44,8000,1511,150,8/29/2025,-,28,Available
EQ0800,Welding Generator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,400000,106,1200,11/17/2025,-,26,Available
EQ0801,Harness Set,Safety,On Rent,Govindpur Road Project,23.78,86.5,15000,1580,300,1/24/2025,-,11,Available
EQ0802,Loader,Transportation,In Maintenance,-,-,-,1500000,1934,5000,5/20/2025,-,5,Under Repair
EQ0803,Loader,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,1500000,1043,5000,10/27/2025,-,14,Available
EQ0804,Excavator,Technical Equipment,In Maintenance,-,-,-,2500000,1635,8000,9/20/2025,-,4,Under Repair
EQ0805,Bulldozer,Transportation,On Rent,Kusunda Overpass,23.74,86.42,3500000,1423,8000,1/5/2025,-,14,Available
EQ0806,Welding Generator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,400000,1902,1200,7/8/2025,-,28,Available
EQ0807,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,130,1200,8/30/2025,9/8/2025,9,Available
EQ0808,Hydraulic Breaker,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,1200000,826,5000,5/4/2025,-,26,Available
EQ0809,Loader,Transportation,On Rent,-,-,-,1500000,1138,5000,9/28/2025,-,8,Available
EQ0810,Hydraulic Breaker,Technical Equipment,In Maintenance,-,-,-,1200000,538,5000,11/5/2025,-,12,Under Repair
EQ0811,Dump Truck,Transportation,In Maintenance,-,-,-,4500000,641,9500,9/10/2025,-,8,Under Repair
EQ0812,Safety Jacket,Safety,On Rent,-,-,-,6000,191,120,2/3/2025,-,30,Available
EQ0813,Safety Helmet Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,8000,840,150,2/10/2025,-,25,Available
EQ0814,Hydraulic Breaker,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,1200000,1631,5000,2/27/2025,-,26,Available
EQ0815,Road Roller,Transportation,Inventory,-,-,-,3000000,770,7000,10/27/2025,10/30/2025,3,Available
EQ0816,Crane,Transportation,On Rent,Katras Tunnel,23.81,86.44,2000000,533,6500,4/25/2025,-,26,Available
EQ0817,Excavator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,2500000,644,8000,9/29/2025,-,20,Available
EQ0818,Gloves Pack,Safety,Inventory,-,-,-,5000,1141,100,8/23/2025,9/6/2025,14,Available
EQ0819,Excavator,Technical Equipment,Inventory,-,-,-,2500000,1629,8000,6/22/2025,6/24/2025,2,Available
EQ0820,Gloves Pack,Safety,Inventory,-,-,-,5000,145,100,4/2/2025,4/15/2025,13,Available
EQ0821,Safety Net,Safety,On Rent,-,-,-,20000,437,250,5/29/2025,-,21,Available
EQ0822,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,1850,1200,2/13/2025,2/28/2025,15,Available
EQ0823,Road Roller,Transportation,Inventory,-,-,-,3000000,137,7000,11/28/2025,11/29/2025,1,Available
EQ0824,Gloves Pack,Safety,Inventory,-,-,-,5000,427,100,8/8/2025,8/22/2025,14,Available
EQ0825,Dump Truck,Transportation,Inventory,-,-,-,4500000,1789,9500,8/29/2025,9/7/2025,9,Available
EQ0826,Gloves Pack,Safety,Inventory,-,-,-,5000,1053,100,10/8/2025,10/23/2025,15,Available
EQ0827,Harness Set,Safety,On Rent,Katras Tunnel,23.81,86.44,15000,1405,300,5/19/2025,-,9,Available
EQ0828,Hydraulic Breaker,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,1200000,768,5000,8/15/2025,-,15,Available
EQ0829,Excavator,Technical Equipment,Inventory,-,-,-,2500000,611,8000,7/4/2025,7/9/2025,5,Available
EQ0830,Gloves Pack,Safety,On Rent,Katras Tunnel,23.81,86.44,5000,119,100,3/5/2025,-,5,Available
EQ0831,Safety Helmet Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,8000,1154,150,4/19/2025,-,24,Available
EQ0832,Crane,Transportation,In Maintenance,-,-,-,2000000,2019,6500,11/15/2025,-,2,Under Repair
EQ0833,Safety Net,Safety,On Rent,Govindpur Road Project,23.78,86.5,20000,1716,250,10/14/2025,-,9,Available
EQ0834,Concrete Mixer,Technical Equipment,On Rent,-,-,-,150000,1814,1500,3/29/2025,-,21,Available
EQ0835,Loader,Transportation,In Maintenance,-,-,-,1500000,1735,5000,7/16/2025,-,9,Under Repair
EQ0836,Gloves Pack,Safety,On Rent,Katras Tunnel,23.81,86.44,5000,292,100,6/27/2025,-,6,Available
EQ0837,Excavator,Technical Equipment,In Maintenance,-,-,-,2500000,251,8000,6/3/2025,-,10,Under Repair
EQ0838,Safety Jacket,Safety,In Maintenance,-,-,-,6000,886,120,3/6/2025,-,11,Under Repair
EQ0839,Gloves Pack,Safety,Inventory,-,-,-,5000,1810,100,11/25/2025,12/3/2025,8,Available
EQ0840,Crane,Transportation,Inventory,-,-,-,2000000,1582,6500,9/20/2025,10/2/2025,12,Available
EQ0841,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,1629,1500,6/19/2025,6/29/2025,10,Available
EQ0842,Safety Helmet Set,Safety,On Rent,Katras Tunnel,23.81,86.44,8000,225,150,1/11/2025,-,21,Available
EQ0843,Crane,Transportation,On Rent,-,-,-,2000000,1906,6500,9/6/2025,-,24,Available
EQ0844,Crane,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,2000000,990,6500,7/20/2025,-,21,Available
EQ0845,Gloves Pack,Safety,Inventory,-,-,-,5000,1583,100,2/20/2025,2/22/2025,2,Available
EQ0846,Gloves Pack,Safety,On Rent,Govindpur Road Project,23.78,86.5,5000,1078,100,4/19/2025,-,8,Available
EQ0847,Hydraulic Breaker,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,1200000,587,5000,8/7/2025,-,20,Available
EQ0848,Welding Generator,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,400000,1196,1200,2/14/2025,-,20,Available
EQ0849,Bulldozer,Transportation,On Rent,Barwadda Expansion,23.835,86.455,3500000,1491,8000,11/28/2025,-,7,Available
EQ0850,Hydraulic Breaker,Technical Equipment,Inventory,-,-,-,1200000,428,5000,2/2/2025,2/9/2025,7,Available
EQ0851,Hydraulic Breaker,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,1200000,1208,5000,3/27/2025,-,6,Available
EQ0852,Welding Generator,Technical Equipment,In Maintenance,-,-,-,400000,572,1200,6/30/2025,-,3,Under Repair
EQ0853,Welding Generator,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,400000,949,1200,11/27/2025,-,21,Available
EQ0854,Welding Generator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,400000,1287,1200,11/26/2025,-,23,Available
EQ0855,Bulldozer,Transportation,In Maintenance,-,-,-,3500000,1546,8000,8/18/2025,-,6,Under Repair
EQ0856,Gloves Pack,Safety,In Maintenance,-,-,-,5000,686,100,10/20/2025,-,4,Under Repair
EQ0857,Harness Set,Safety,On Rent,-,-,-,15000,1599,300,11/27/2025,-,17,Available
EQ0858,Road Roller,Transportation,On Rent,Govindpur Road Project,23.78,86.5,3000000,1389,7000,3/30/2025,-,19,Available
EQ0859,Loader,Transportation,In Maintenance,-,-,-,1500000,2031,5000,11/16/2025,-,5,Under Repair
EQ0860,Safety Jacket,Safety,Inventory,-,-,-,6000,1668,120,8/24/2025,8/25/2025,1,Available
EQ0861,Compressor,Technical Equipment,Inventory,-,-,-,600000,1644,1800,11/22/2025,11/30/2025,8,Available
EQ0862,Safety Helmet Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,8000,567,150,10/26/2025,-,21,Available
EQ0863,Safety Jacket,Safety,On Rent,Kusunda Overpass,23.74,86.42,6000,883,120,5/29/2025,-,29,Available
EQ0864,Harness Set,Safety,Inventory,-,-,-,15000,1539,300,9/18/2025,9/22/2025,4,Available
EQ0865,Road Roller,Transportation,In Maintenance,-,-,-,3000000,1256,7000,11/1/2025,-,13,Under Repair
EQ0866,Dump Truck,Transportation,On Rent,Barwadda Expansion,23.835,86.455,4500000,365,9500,5/5/2025,-,8,Available
EQ0867,Gloves Pack,Safety,Inventory,-,-,-,5000,595,100,12/1/2025,12/16/2025,15,Available
EQ0868,Excavator,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,2500000,539,8000,7/13/2025,-,9,Available
EQ0869,Safety Jacket,Safety,On Rent,-,-,-,6000,248,120,5/24/2025,-,14,Available
EQ0870,Dump Truck,Transportation,Inventory,-,-,-,4500000,1594,9500,9/21/2025,9/28/2025,7,Available
EQ0871,Concrete Mixer,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,150000,1770,1500,2/15/2025,-,22,Available
EQ0872,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,1309,1500,5/18/2025,5/31/2025,13,Available
EQ0873,Safety Net,Safety,Inventory,-,-,-,20000,709,250,9/6/2025,9/19/2025,13,Available
EQ0874,Loader,Transportation,Inventory,-,-,-,1500000,705,5000,1/8/2025,1/9/2025,1,Available
EQ0875,Harness Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,15000,1031,300,11/12/2025,-,9,Available
EQ0876,Safety Helmet Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,8000,1573,150,5/16/2025,-,9,Available
EQ0877,Dump Truck,Transportation,On Rent,Barwadda Expansion,23.835,86.455,4500000,719,9500,1/9/2025,-,23,Available
EQ0878,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,1028,1500,2/15/2025,2/28/2025,13,Available
EQ0879,Safety Helmet Set,Safety,On Rent,Govindpur Road Project,23.78,86.5,8000,433,150,4/15/2025,-,18,Available
EQ0880,Compressor,Technical Equipment,In Maintenance,-,-,-,600000,1172,1800,9/1/2025,-,10,Under Repair
EQ0881,Concrete Mixer,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,150000,324,1500,9/4/2025,-,13,Available
EQ0882,Safety Net,Safety,Inventory,-,-,-,20000,1572,250,6/12/2025,6/23/2025,11,Available
EQ0883,Compressor,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,600000,1411,1800,10/20/2025,-,30,Available
EQ0884,Safety Jacket,Safety,On Rent,Saraidhela Bridge,23.795,86.425,6000,259,120,3/29/2025,-,24,Available
EQ0885,Gloves Pack,Safety,In Maintenance,-,-,-,5000,793,100,7/5/2025,-,7,Under Repair
EQ0886,Safety Helmet Set,Safety,On Rent,-,-,-,8000,1740,150,9/30/2025,-,17,Available
EQ0887,Compressor,Technical Equipment,Inventory,-,-,-,600000,1992,1800,6/25/2025,7/9/2025,14,Available
EQ0888,Dump Truck,Transportation,Inventory,-,-,-,4500000,612,9500,11/3/2025,11/12/2025,9,Available
